DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
JM265,MC-2260,,,3430,90,,,,JMSID37,Hilli 8,,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
JM266,MC-2261,,,3710,90,,,,JMSID37,Hilli 8,F3,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
JM267,MC-2262,,,3690,90,,,,JMSID37,Hilli 8,F5,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
JM268,MC-2263,,,3950,90,,,,JMSID37,Hilli 8,Unit 104,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
JM269,MC-2264,,,3840,100,,,,JMSID37,Hilli 8,F13,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
JM270,MC-2265,,,3900,100,,,,JMSID37,Hilli 8,F14,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
JM271,MC-2266,,,4400,100,,,,JMSID37,Hilli 8,Room 6,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
JM272,MC-2267,,,4400,100,,,,JMSID37,Hilli 8,Room 10,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
JM273,SM-1236,,,3603,213,,,,JMSID38,Hilli 1,,,AE,55.79321847,24.29295099,B,"Potts, 1997, p. 67",
JM274,SM-1237,,,3715,217,,,,JMSID38,Hilli 1,,,AE,55.79321847,24.29295099,B,"Potts, 1997, p. 67",
JM275,SM-1238,,,3603,213,,,,JMSID38,Hilli 1,,,AE,55.79321847,24.29295099,B,"Potts, 1997, p. 67",
JM276,SM-1239,,,3940,213,,,,JMSID38,Hilli 1,,,AE,55.79321847,24.29295099,B,"Potts, 1997, p. 67",
JM277,K-5574,,,3685,60,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM278,K-5575,,,3750,65,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM279,K-5576,,,3720,85,,carbonized dates,Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM280,K-5577,,,3745,75,,carbonized dates,Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM281,K-5578,,,3730,85,,carbonized dates,Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM282,K-5579,,,3270,75,,carbonized dates,Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM283,K-5580,,,3470,80,,carbonized dates,Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM284,K-5581,,,3830,85,,carbonized dates,Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM285,K-5582,,,4020,85,,charcoal,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM286,K-5583,,,3370,80,,carbonized dates,Phoenix dactylifera,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1993, p. 126",
JM287,OZA-918U,,,3480,70,,,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1997, p. 68",
JM288,OZA-920U,,,3450,70,,,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1997, p. 68",
JM289,OZA-921U,,,3440,60,,,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1997, p. 68",
JM290,OZA-923U,,,3750,60,,,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1997, p. 68",
JM291,OZA-924U,,,3760,100,,,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1997, p. 68",
JM292,OZA-929U,,,3830,90,,,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1997, p. 68",
JM293,OZA-930U,,,3730,60,,,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1997, p. 68",
JM294,OZA-936U,,,3760,60,,,,303365,Tell Abraq,,settlement,AE,55.55,25.483333,A,"Potts, 1997, p. 68",
JM306,OZB805,,,2943,182,,wood charcoal,,JMSID4,Muweilah,"Area C, destruction level",settlement,AE,55.49732187,25.2988825,A,"Al-Jahwari, 2008, p. 626",
JM308,OZB807,,,2885,144,,wood charcoal,,JMSID4,Muweilah,"Area C, destruction level",settlement,AE,55.49732187,25.2988825,A,"Al-Jahwari, 2008, p. 626",
JM312,Wk-9506,,,2863,68,,wood charcoal,,JMSID4,Muweilah,"Area C, destruction level",settlement,AE,55.49732187,25.2988825,A,"Magee, 2003, p. 2",
JM319,PA-1926,,,2760,40,,,,JMSID42,Hilli 17,,,AE,55.79321847,24.29295099,B,"Magee, 2003, p. 6",
JM495, SM1113,,,3196,156,,charcoal,,JMSID129,Hili 1,,tower,AE,55.79467781,24.29276931,A,"Frifelt, 1968, p. 174",
JM496,Poz‐53976,,,3315,35,,microcharcoal,,JMSID130,Masafi,Test pit E,settlement,AE,56.15899665,25.30466643,A,"Purdue et al., 2019, p. 115",
JM498,Poz-64519,,,2945,35,,microcharcoal,,JMSID130,Masafi,Test pit B,settlement,AE,56.15899665,25.30466643,A,"Purdue et al., 2019, p. 115",
JM514,,Ham2007⁄2,NoLabID,3150,40,,charcoal sediment,,JMSID131,Hamriya,337. Hearth 97.,shell midden,AE,55.52410087,25.45677086,B,"Magee et al., 2009, p. 27",
JM527,P 13304,,,3531,40,,charcoal,,JMSID3,Khor Kalba,K4 MBZ1 char,settlement,AE,56.345,25.086,A,"Lindauer, 2019, p. 65",
JM528,P 13305,,,3537,35,,fruitstone,Phoenix dactylifera,JMSID3,Khor Kalba,K4 MBZ1 DS,settlement,AE,56.345,25.086,A,"Lindauer, 2019, p. 65",
JM529,UCIAMS171125,[UCIAMS171126 and UCIAMS171125 are duplicates,,3425,15,,charcoal,,JMSID3,Khor Kalba,K4 MBZ2 char,settlement,AE,56.345,25.086,A,"Lindauer, 2019, p. 65",
JM530,UCIAMS171126,[UCIAMS171126 and UCIAMS171125 are duplicates,,3420,15,,charcoal,,JMSID3,Khor Kalba,K4 MBZ2 char,settlement,AE,56.345,25.086,A,"Lindauer, 2019, p. 65",
889,ANU-2813,,DuplicateLabID,4715,160,,,,16368,Khor Milkh 1,,settlement,OM,58.9,23.25,B,CalPal,"Two dates from this site, seemingly different but with same lab code."
890,ANU-2813,,DuplicateLabID,5130,90,,,,16368,Khor Milkh 1,,settlement,OM,58.9,23.25,B,CalPal,"Two dates from this site, seemingly different but with same lab code."
1331,Beta-278911,,,4360,40,,charcoal,,303283,Bat (Wadi Sharsah),,irrigation channel,OM,56.744863,23.25879,A,Desruelles et al. 2016,
1332,Beta-278912,,,4370,40,,charcoal,,303283,Bat (Wadi Sharsah),,irrigation channel,OM,56.744863,23.25879,A,Desruelles et al. 2016,
1333,Beta-278913,,,4860,40,,charcoal,,303283,Bat (Wadi Sharsah),,irrigation channel,OM,56.744863,23.25879,A,Desruelles et al. 2016,
1378,Beta-291688,,,4290,40,,charcoal,,303283,Bat (Wadi Sharsah),,irrigation channel,OM,56.744863,23.25879,A,Desruelles et al. 2016,
1445,Beta-347968,,,4620,30,,charcoal,,303283,Bat (Wadi Sharsah),,irrigation channel,OM,56.744863,23.25879,A,Desruelles et al. 2016,
1915,Bln-2735,,,5010,80,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi et al. 1984,
1916,Bln-2736,,,4650,50,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1917,Bln-2737,,,4740,60,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1918,Bln-2738,,,4860,60,,charcoal,,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994,
1919,Bln-2739,,,3550,60,,charcoal,,15777,Ra's al-Hamra 10,,settlement,OM,58.481056,23.629182,A,Biagi et al. 1984; CalPal; Hinz et al. 2012: http://radon-b.ufg.uni-kiel.de/samples/7178,
1923,Bln-3140,,,4760,100,,charcoal,Avicennia marina,15777,Ra's al-Hamra 10,,settlement,OM,58.481056,23.629182,A,CalPal; Biagi 1994,
1924,Bln-3141,,,5030,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994; Biagi and Nisbet 1989,
1925,Bln-3143,,,4880,60,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994; Biagi and Nisbet 1989,
1926,Bln-3144,,,4900,50,,charcoal,Avicennia marina,15776,Ra's al-Hamra 5,,settlement,OM,58.481545,23.628406,A,CalPal; Biagi 1994; Biagi and Nisbet 1989,
